City_ID,City,Max Temp,Weather Description,Lat,Lng,Hotel Name
97,flinders,12.43,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
98,havre-saint-pierre,11.82,scattered clouds,50.2334,-63.5986,Auberge Niapiskau
99,gat,22.67,clear sky,31.61,34.7642,OlusHome
100,iberia,31.65,overcast clouds,29.9502,-91.7507,back to back rv park
105,auch,23.35,overcast clouds,43.65,0.5833,Hôtel de France
106,kalmunai,27.41,overcast clouds,7.4167,81.8167,VS Villa
107,san patricio,32.26,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
108,mendoza,17.74,clear sky,-32.8908,-68.8272,Hotel Mendoza
109,natal,30.36,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
110,zhezkazgan,21.71,broken clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
111,nikolskoye,16.94,scattered clouds,59.7035,30.7861,Tourist House - Sablino
112,skelleftea,22.2,scattered clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
113,carutapera,27.78,few clouds,-1.195,-46.02,Lidera
114,kutum,31.16,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
115,gizo,27.36,overcast clouds,-8.103,156.8419,Imagination Island
117,revda,15.45,overcast clouds,56.801,59.9303,Metallurg
118,bethel,26.58,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
119,kattivakkam,30.04,clear sky,13.2167,80.3167,Raj's villa
122,port macquarie,11.32,light rain,-31.4333,152.9167,Rydges Port Macquarie
124,shirwal,22.42,overcast clouds,18.1333,73.9833,HOTEL PRIYANKA BAR AND LODGING
125,tortoli,21.66,scattered clouds,39.9256,9.6572,Hotel La Bitta
126,mar del plata,13.89,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
127,constitucion,17.34,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
128,san quintin,20.02,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
129,altay,19.51,overcast clouds,47.8667,88.1167,Jinqiao Hotel
130,kristiansund,20.03,clear sky,63.1115,7.732,Thon Hotels Storgata
131,lensk,14.47,broken clouds,60.7253,114.9278,ТинОрС
132,salinas,27.89,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
133,esperance,13.91,broken clouds,-33.8667,121.9,Hospitality Esperance
134,namatanai,25.66,broken clouds,-3.6667,152.4333,Namatanai Hotel
135,kahului,28.25,few clouds,20.8947,-156.47,Maui Seaside Hotel
136,chuy,17.0,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
138,sao gabriel da cachoeira,30.27,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
139,ayorou,37.71,clear sky,14.7308,0.9174,Hotel Amenokal
140,bredasdorp,13.62,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
142,bosaso,31.31,overcast clouds,11.2842,49.1816,Red Sea Hotel
144,mwingi,20.55,scattered clouds,-0.9344,38.0601,Thorn Tree by The Address
145,cockburn town,26.66,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
146,lundazi,17.4,few clouds,-12.2929,33.1782,"Stones Hotel, Lundazi"
147,tomatlan,35.73,overcast clouds,19.9333,-105.25,Norma franco
150,thompson,22.58,overcast clouds,55.7435,-97.8558,Burntwood Hotel
153,belmonte,27.28,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
155,marienburg,15.81,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
156,castro,19.75,few clouds,-24.7911,-50.0119,CHACARA BAILLY
157,ahipara,13.64,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
158,tervel,12.54,overcast clouds,43.75,27.4,Хотели Тервел - Хотел Алгара
159,butaritari,28.3,light rain,3.0707,172.7902,Isles Sunset Lodge
160,carnarvon,17.88,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
163,cidreira,19.98,overcast clouds,-30.1811,-50.2056,Hotel Castelo
164,margate,19.3,few clouds,51.3813,1.3862,Premier Inn Margate hotel
